District	Severe (Rill erosion, Gully erosion, Mass movement/Landslides)	Moderate (Diffuse overland flow erosion, overland flow erosion)	Low (wind erosion)	Very Low (splash erosion)
Nyarugenge	0.0	1.7	12.8	85.6
Gasabo	0.0	24.3	32.9	42.8
Kicukiro	0.4	0.0	4.3	95.4
Nyanza	1.0	45.5	17.8	35.7
Gisagara	0.2	5.1	35.9	58.9
Nyaruguru	1.1	22.1	43.0	33.9
Huye	2.3	12.7	62.5	22.5
Nyamagabe	2.3	12.3	53.5	31.9
Ruhango	2.7	14.9	43.2	39.1
Muhanga	2.2	8.4	16.5	72.8
Kamonyi	0.4	26.5	30.7	42.5
Karongi	1.2	33.1	43.0	22.7
Rutsiro	4.8	18.7	16.4	60.2
Rubavu	3.4	18.5	9.1	69.0
Nyabihu	2.9	20.3	55.1	21.7
Ngororero	3.5	32.6	42.1	21.9
Rusizi	2.7	13.6	43.5	40.2
Nyamasheke	1.5	14.5	14.6	69.4
Rulindo	0.3	12.6	33.0	54.1
Gakenke	2.1	11.9	50.9	35.1
Musanze	0.9	6.4	19.2	73.6
Burera	3.3	9.0	29.6	58.2
Gicumbi	1.4	43.4	35.8	19.4
Rwamagana	0.2	24.8	50.2	24.8
Nyagatare	0.5	9.5	16.8	73.2
Gatsibo	4.0	11.9	44.7	39.4
Kayonza	0.3	7.9	7.4	84.4
Kirehe	0.1	3.5	17.5	79.0
Ngoma	0.0	5.1	46.7	48.2
Bugesera	0.0	12.5	47.5	40.0

